Order ID,Returned
ES-2020-1137137,Yes
ES-2020-1141056,Yes
ES-2020-1228490,Yes
ES-2020-1228490,Yes
ES-2020-1228490,Yes
ES-2020-1276768,Yes
ES-2020-1276768,Yes
ES-2020-1443340,Yes
ES-2020-1443340,Yes
ES-2020-1868803,Yes
ES-2020-1868803,Yes
ES-2020-1868803,Yes
ES-2020-1868803,Yes
ES-2020-2417338,Yes
ES-2020-2835499,Yes
ES-2020-2835499,Yes
ES-2020-2835499,Yes
ES-2020-2835499,Yes
ES-2020-2835499,Yes
ES-2020-2835499,Yes
ES-2020-2835499,Yes
ES-2020-3028321,Yes
ES-2020-3074997,Yes
ES-2020-3106999,Yes
ES-2020-3106999,Yes
ES-2020-3108517,Yes
ES-2020-3108517,Yes
ES-2020-3108517,Yes
ES-2020-3249098,Yes
ES-2020-3305419,Yes
ES-2020-3305419,Yes
ES-2020-3305419,Yes
ES-2020-3305419,Yes
ES-2020-3305419,Yes
ES-2020-3305419,Yes
ES-2020-3366039,Yes
ES-2020-3654318,Yes
ES-2020-3654318,Yes
ES-2020-3864297,Yes
ES-2020-3864297,Yes
ES-2020-3864297,Yes
ES-2020-4351366,Yes
ES-2020-4351366,Yes
ES-2020-4359424,Yes
ES-2020-4359424,Yes
ES-2020-4694484,Yes
ES-2020-4816650,Yes
ES-2020-4816650,Yes
ES-2020-4816650,Yes
ES-2020-5032747,Yes
ES-2020-5118812,Yes
ES-2020-5118812,Yes
ES-2020-5201850,Yes
ES-2020-5263174,Yes
ES-2020-5263174,Yes
ES-2020-5273102,Yes
ES-2020-5273102,Yes
ES-2020-5389664,Yes
ES-2020-5389664,Yes
ES-2020-5389664,Yes
ES-2020-5464858,Yes
ES-2020-5803751,Yes
ES-2020-5803751,Yes
ES-2021-1211902,Yes
ES-2021-1295099,Yes
ES-2021-1363320,Yes
ES-2021-1382586,Yes
ES-2021-1382586,Yes
ES-2021-1382586,Yes
ES-2021-1439531,Yes
ES-2021-1439531,Yes
ES-2021-1439531,Yes
ES-2021-1484906,Yes
ES-2021-1484906,Yes
ES-2021-1484906,Yes
ES-2021-1484906,Yes
ES-2021-1484906,Yes
ES-2021-1721838,Yes
ES-2021-1721838,Yes
ES-2021-1721838,Yes
ES-2021-1721838,Yes
ES-2021-1845274,Yes
ES-2021-1986848,Yes
ES-2021-2088434,Yes
ES-2021-2088434,Yes
ES-2021-2088434,Yes
ES-2021-2088434,Yes
ES-2021-2102738,Yes
ES-2021-2102738,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2212320,Yes
ES-2021-2223096,Yes
ES-2021-2270219,Yes
ES-2021-2280466,Yes
ES-2021-2376426,Yes
ES-2021-2431083,Yes
ES-2021-2680511,Yes
ES-2021-3075381,Yes
ES-2021-3075381,Yes
ES-2021-3246286,Yes
ES-2021-3246286,Yes
ES-2021-3246286,Yes
ES-2021-3246286,Yes
ES-2021-3246286,Yes
ES-2021-3246286,Yes
ES-2021-3327222,Yes
ES-2021-3327222,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3330001,Yes
ES-2021-3362320,Yes
ES-2021-3471401,Yes
ES-2021-3471401,Yes
ES-2021-3471401,Yes
ES-2021-3631542,Yes
ES-2021-3631542,Yes
ES-2021-3679676,Yes
ES-2021-3679676,Yes
ES-2021-3679676,Yes
ES-2021-3679676,Yes
ES-2021-3697227,Yes
ES-2021-3697227,Yes
ES-2021-3697227,Yes
ES-2021-3715659,Yes
ES-2021-4007496,Yes
ES-2021-4007496,Yes
ES-2021-4079399,Yes
ES-2021-4079399,Yes
ES-2021-4079399,Yes
ES-2021-4193401,Yes
ES-2021-4193401,Yes
ES-2021-4250639,Yes
ES-2021-4286133,Yes
ES-2021-4379168,Yes
ES-2021-4379168,Yes
ES-2021-4379168,Yes
ES-2021-4485887,Yes
ES-2021-4485887,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4662036,Yes
ES-2021-4717022,Yes
ES-2021-4717022,Yes
ES-2021-4804562,Yes
ES-2021-4829315,Yes
ES-2021-4829315,Yes
ES-2021-4840257,Yes
ES-2021-4844965,Yes
ES-2021-4844965,Yes
ES-2021-5207465,Yes
ES-2021-5207465,Yes
ES-2021-5238758,Yes
ES-2021-5238758,Yes
ES-2021-5238758,Yes
ES-2021-5238758,Yes
ES-2021-5238758,Yes
ES-2021-5365524,Yes
ES-2021-5365524,Yes
ES-2021-5466966,Yes
ES-2021-5566923,Yes
ES-2021-5645358,Yes
ES-2021-5645358,Yes
ES-2021-5745179,Yes
ES-2021-5745179,Yes
ES-2021-5745179,Yes
ES-2021-5745179,Yes
ES-2021-5745179,Yes
ES-2021-5745179,Yes
ES-2021-5757351,Yes
ES-2021-5845607,Yes
ES-2021-5845607,Yes
